date,state,cases,deaths,accumulated_cases,accumulated_deaths
2020-01-25,California,1,0,1,0
2020-01-26,California,1,0,2,0
2020-01-27,California,0,0,2,0
2020-01-28,California,0,0,2,0
2020-01-29,California,0,0,2,0
2020-01-30,California,0,0,2,0
2020-01-31,California,1,0,3,0
2020-02-01,California,0,0,3,0
2020-02-02,California,3,0,6,0
2020-02-03,California,0,0,6,0
2020-02-04,California,0,0,6,0
2020-02-05,California,0,0,6,0
2020-02-06,California,0,0,6,0
2020-02-07,California,0,0,6,0
2020-02-08,California,0,0,6,0
2020-02-09,California,0,0,6,0
2020-02-10,California,1,0,7,0
2020-02-11,California,0,0,7,0
2020-02-12,California,0,0,7,0
2020-02-13,California,0,0,7,0
2020-02-14,California,0,0,7,0
2020-02-15,California,0,0,7,0
2020-02-16,California,0,0,7,0
2020-02-17,California,0,0,7,0
2020-02-18,California,0,0,7,0
2020-02-19,California,0,0,7,0
2020-02-20,California,1,0,8,0
2020-02-21,California,1,0,9,0
2020-02-22,California,0,0,9,0
2020-02-23,California,0,0,9,0
2020-02-24,California,2,0,11,0
2020-02-25,California,0,0,11,0
2020-02-26,California,15,0,26,0
2020-02-27,California,0,0,26,0
2020-02-28,California,1,0,27,0
2020-02-29,California,1,0,28,0
2020-03-01,California,5,0,33,0
2020-03-02,California,5,0,38,0
2020-03-03,California,7,0,45,0
2020-03-04,California,10,1,55,1
2020-03-05,California,12,0,67,1
2020-03-06,California,14,0,81,1
2020-03-07,California,19,0,100,1
2020-03-08,California,12,0,112,1
2020-03-09,California,60,1,172,2
2020-03-10,California,7,1,179,3
2020-03-11,California,23,1,202,4
2020-03-12,California,50,0,252,4
2020-03-13,California,68,1,320,5
2020-03-14,California,61,0,381,5
2020-03-15,California,97,1,478,6
2020-03-16,California,110,5,588,11
2020-03-17,California,144,3,732,14
2020-03-18,California,161,3,893,17
2020-03-19,California,174,2,1067,19
2020-03-20,California,216,5,1283,24
2020-03-21,California,261,4,1544,28
2020-03-22,California,307,7,1851,35
2020-03-23,California,389,4,2240,39
2020-03-24,California,404,13,2644,52
2020-03-25,California,539,16,3183,68
2020-03-26,California,877,15,4060,83
2020-03-27,California,855,21,4915,104
2020-03-28,California,651,18,5566,122
2020-03-29,California,755,10,6321,132
2020-03-30,California,1100,15,7421,147
2020-03-31,California,1162,37,8583,184
2020-04-01,California,1274,28,9857,212
2020-04-02,California,1333,35,11190,247
2020-04-03,California,1379,35,12569,282
2020-04-04,California,1227,41,13796,323
2020-04-05,California,1406,28,15202,351
2020-04-06,California,1159,35,16361,386
2020-04-07,California,1179,61,17540,447
2020-04-08,California,1503,59,19043,506
2020-04-09,California,1148,42,20191,548
2020-04-10,California,1175,46,21366,594
2020-04-11,California,1055,38,22421,632
2020-04-12,California,902,44,23323,676
2020-04-13,California,1011,49,24334,725
2020-04-14,California,1424,53,25758,778
2020-04-15,California,1349,107,27107,885
2020-04-16,California,1035,86,28142,971
2020-04-17,California,1256,79,29398,1050
2020-04-18,California,1431,96,30829,1146
2020-04-19,California,715,30,31544,1176
2020-04-20,California,2318,47,33862,1223
2020-04-21,California,1982,93,35844,1316
2020-04-22,California,1729,109,37573,1425
2020-04-23,California,1961,123,39534,1548
2020-04-24,California,1834,71,41368,1619
2020-04-25,California,1222,73,42590,1692
2020-04-26,California,1101,24,43691,1716
2020-04-27,California,1517,84,45208,1800
2020-04-28,California,1362,84,46570,1884
2020-04-29,California,2334,77,48904,1961
2020-04-30,California,1566,96,50470,2057
2020-05-01,California,1848,90,52318,2147
2020-05-02,California,1435,66,53753,2213
2020-05-03,California,1319,22,55072,2235
2020-05-04,California,1261,62,56333,2297
2020-05-05,California,2515,89,58848,2386
2020-05-06,California,1939,92,60787,2478
2020-05-07,California,1694,83,62481,2561
2020-05-08,California,2135,89,64616,2650
2020-05-09,California,2208,82,66824,2732
2020-05-10,California,1227,37,68051,2769
2020-05-11,California,1463,51,69514,2820
2020-05-12,California,1636,82,71150,2902
2020-05-13,California,2068,112,73218,3014
2020-05-14,California,1729,25,74947,3039
2020-05-15,California,2068,153,77015,3192
2020-05-16,California,1918,62,78933,3254
2020-05-17,California,1433,36,80366,3290
2020-05-18,California,1577,32,81943,3322
2020-05-19,California,2038,100,83981,3422
2020-05-20,California,2144,92,86125,3514
2020-05-21,California,2363,110,88488,3624
2020-05-22,California,2313,66,90801,3690
2020-05-23,California,2014,78,92815,3768
2020-05-24,California,1928,22,94743,3790
2020-05-25,California,2274,18,97017,3808
2020-05-26,California,2907,51,99924,3859
2020-05-27,California,1949,102,101873,3961
2020-05-28,California,2198,81,104071,4042
2020-05-29,California,2972,102,107043,4144
2020-05-30,California,3057,70,110100,4214
2020-05-31,California,3014,28,113114,4242
2020-06-01,California,2529,45,115643,4287
2020-06-02,California,2438,73,118081,4360
2020-06-03,California,2326,62,120407,4422
2020-06-04,California,2510,62,122917,4484
2020-06-05,California,3593,66,126510,4550
2020-06-06,California,2637,76,129147,4626
2020-06-07,California,2850,27,131997,4653
2020-06-08,California,2290,26,134287,4679
2020-06-09,California,2958,96,137245,4775
2020-06-10,California,2894,94,140139,4869
2020-06-11,California,3570,72,143709,4941
2020-06-12,California,3576,45,147285,4986
2020-06-13,California,3149,73,150434,5059
2020-06-14,California,2519,30,152953,5089
2020-06-15,California,2709,31,155662,5120
2020-06-16,California,3469,82,159131,5202
2020-06-17,California,4250,81,163381,5283
2020-06-18,California,3754,76,167135,5359
2020-06-19,California,3708,66,170843,5425
2020-06-20,California,4011,70,174854,5495
2020-06-21,California,3953,22,178807,5517
2020-06-22,California,5813,44,184620,5561
2020-06-23,California,6419,76,191039,5637
2020-06-24,California,4850,91,195889,5728
2020-06-25,California,5524,82,201413,5810
2020-06-26,California,5614,62,207027,5872
2020-06-27,California,4426,30,211453,5902
2020-06-28,California,5502,35,216955,5937
2020-06-29,California,7040,42,223995,5979
2020-06-30,California,8158,104,232153,6083
2020-07-01,California,7611,85,239764,6168
2020-07-02,California,8434,95,248198,6263
2020-07-03,California,8100,52,256298,6315
2020-07-04,California,8878,14,265176,6329
2020-07-05,California,6411,40,271587,6369
2020-07-06,California,6282,83,277869,6452
2020-07-07,California,9897,111,287766,6563
2020-07-08,California,8538,145,296304,6708
2020-07-09,California,7212,117,303516,6825
2020-07-10,California,7989,111,311505,6936
2020-07-11,California,8525,76,320030,7012
2020-07-12,California,7646,30,327676,7042
2020-07-13,California,8530,44,336206,7086
2020-07-14,California,10387,141,346593,7227
2020-07-15,California,8904,141,355497,7368
2020-07-16,California,9264,122,364761,7490
2020-07-17,California,10161,117,374922,7607
2020-07-18,California,8272,90,383194,7697
2020-07-19,California,8266,13,391460,7710
2020-07-20,California,8735,54,400195,7764
2020-07-21,California,10171,119,410366,7883
2020-07-22,California,12162,155,422528,8038
2020-07-23,California,10647,152,433175,8190
2020-07-24,California,9921,135,443096,8325
2020-07-25,California,10231,103,453327,8428
2020-07-26,California,6011,23,459338,8451
2020-07-27,California,7765,93,467103,8544
2020-07-28,California,7848,172,474951,8716
2020-07-29,California,11088,168,486039,8884
2020-07-30,California,8230,125,494269,9009
2020-07-31,California,8004,213,502273,9222
2020-08-01,California,7234,143,509507,9365
2020-08-02,California,6430,34,515937,9399
2020-08-03,California,6298,101,522235,9500
2020-08-04,California,5023,196,527258,9696
2020-08-05,California,5518,170,532776,9866
2020-08-06,California,8237,148,541013,10014
2020-08-07,California,7129,183,548142,10197
2020-08-08,California,8016,102,556158,10299
2020-08-09,California,7086,66,563244,10365
2020-08-10,California,11023,95,574267,10460
2020-08-11,California,11811,194,586078,10654
2020-08-12,California,9019,154,595097,10808
2020-08-13,California,8115,187,603212,10995
2020-08-14,California,10031,151,613243,11146
2020-08-15,California,8738,83,621981,11229
2020-08-16,California,6527,16,628508,11245
2020-08-17,California,6483,89,634991,11334
2020-08-18,California,5508,189,640499,11523
2020-08-19,California,6243,163,646742,11686
2020-08-20,California,6659,115,653401,11801
2020-08-21,California,6590,183,659991,11984
2020-08-22,California,5334,153,665325,12137
2020-08-23,California,4619,15,669944,12152
2020-08-24,California,6292,98,676236,12250
2020-08-25,California,6084,159,682320,12409
2020-08-26,California,5292,138,687612,12547
2020-08-27,California,5352,149,692964,12696
2020-08-28,California,5427,140,698391,12836
2020-08-29,California,4109,70,702500,12906
2020-08-30,California,4089,33,706589,12939
2020-08-31,California,5954,81,712543,13020
2020-09-01,California,4087,129,716630,13149
2020-09-02,California,5407,181,722037,13330
2020-09-03,California,5366,167,727403,13497
2020-09-04,California,5290,147,732693,13644
2020-09-05,California,4381,64,737074,13708
2020-09-06,California,3159,22,740233,13730
2020-09-07,California,2456,33,742689,13763
2020-09-08,California,3425,80,746114,13843
2020-09-09,California,3083,147,749197,13990
2020-09-10,California,3822,104,753019,14094
2020-09-11,California,4107,171,757126,14265
2020-09-12,California,3456,68,760582,14333
2020-09-13,California,2808,53,763390,14386
2020-09-14,California,3673,72,767063,14458
2020-09-15,California,2855,148,769918,14606
2020-09-16,California,3401,110,773319,14716
2020-09-17,California,3626,91,776945,14807
2020-09-18,California,4492,105,781437,14912
2020-09-19,California,3640,111,785077,15023
2020-09-20,California,3001,-5,788078,15018
2020-09-21,California,4142,51,792220,15069
2020-09-22,California,2860,140,795080,15209
2020-09-23,California,3271,104,798351,15313
2020-09-24,California,3323,76,801674,15389
2020-09-25,California,4062,144,805736,15533
2020-09-26,California,3479,55,809215,15588
2020-09-27,California,2484,20,811699,15608
2020-09-28,California,3098,33,814797,15641
2020-09-29,California,3143,150,817940,15791
2020-09-30,California,3186,107,821126,15898
2020-10-01,California,3181,91,824307,15989
2020-10-02,California,4058,85,828365,16074
2020-10-03,California,3130,48,831495,16122
2020-10-04,California,3141,28,834636,16150
2020-10-05,California,3086,29,837722,16179
2020-10-06,California,2602,72,840324,16251
2020-10-07,California,3410,107,843734,16358
2020-10-08,California,3651,67,847385,16425
2020-10-09,California,3844,77,851229,16502
2020-10-10,California,3074,66,854303,16568
2020-10-11,California,2774,13,857077,16581
2020-10-12,California,2883,13,859960,16594
2020-10-13,California,3654,56,863614,16650
2020-10-14,California,3480,102,867094,16752
2020-10-15,California,3286,87,870380,16839
2020-10-16,California,3722,62,874102,16901
2020-10-17,California,2156,39,876258,16940
2020-10-18,California,2137,39,878395,16979
2020-10-19,California,4271,8,882666,16987
2020-10-20,California,4428,80,887094,17067
2020-10-21,California,3060,122,890154,17189
2020-10-22,California,6273,77,896427,17266
2020-10-23,California,5901,50,902328,17316
2020-10-24,California,4317,29,906645,17345
2020-10-25,California,2700,13,909345,17358
2020-10-26,California,4362,40,913707,17398
2020-10-27,California,4928,80,918635,17478
2020-10-28,California,4050,63,922685,17541
2020-10-29,California,4225,26,926910,17567
2020-10-30,California,4933,60,931843,17627
2020-10-31,California,3419,34,935262,17661
2020-11-01,California,3635,10,938897,17671
2020-11-02,California,5251,29,944148,17700
2020-11-03,California,5242,51,949390,17751
2020-11-04,California,5239,67,954629,17818
2020-11-05,California,6276,48,960905,17866
2020-11-06,California,6713,73,967618,17939
2020-11-07,California,5203,25,972821,17964
2020-11-08,California,6040,11,978861,17975
2020-11-09,California,6762,60,985623,18035
2020-11-10,California,8743,38,994366,18073
2020-11-11,California,5150,36,999516,18109
2020-11-12,California,9700,32,1009216,18141
2020-11-13,California,9864,77,1019080,18218
2020-11-14,California,7964,36,1027044,18254
2020-11-15,California,8964,11,1036008,18265
2020-11-16,California,11382,39,1047390,18304
2020-11-17,California,10733,56,1058123,18360
2020-11-18,California,11421,107,1069544,18467
2020-11-19,California,13161,88,1082705,18555
2020-11-20,California,13722,94,1096427,18649
2020-11-21,California,13442,60,1109869,18709
2020-11-22,California,8804,17,1118673,18726
2020-11-23,California,17825,42,1136498,18768
2020-11-24,California,16534,107,1153032,18875
2020-11-25,California,14144,107,1167176,18982
2020-11-26,California,8983,43,1176159,19025
2020-11-27,California,16930,75,1193089,19100
2020-11-28,California,13207,32,1206296,19132
2020-11-29,California,13215,19,1219511,19151
2020-11-30,California,17727,58,1237238,19209
2020-12-01,California,16667,118,1253905,19327
2020-12-02,California,18174,113,1272079,19440
2020-12-03,California,21858,146,1293937,19586
2020-12-04,California,24251,205,1318188,19791
2020-12-05,California,25005,85,1343193,19876
2020-12-06,California,28792,61,1371985,19937
2020-12-07,California,27254,115,1399239,20052
2020-12-08,California,26262,186,1425501,20238
2020-12-09,California,31772,228,1457273,20466
2020-12-10,California,33859,170,1491132,20636
2020-12-11,California,37105,218,1528237,20854
2020-12-12,California,26683,104,1554920,20958
2020-12-13,California,35806,85,1590726,21043
2020-12-14,California,30190,153,1620916,21196
2020-12-15,California,34250,287,1655166,21483
2020-12-16,California,60942,398,1716108,21881
2020-12-17,California,45322,274,1761430,22155
2020-12-18,California,48243,341,1809673,22496
2020-12-19,California,37358,155,1847031,22651
2020-12-20,California,42883,85,1889914,22736
2020-12-21,California,43255,244,1933169,22980
2020-12-22,California,35372,274,1968541,23254
2020-12-23,California,44757,379,2013298,23633
